gene_symbol,entrez_id,probe_name
DAPK3,1613,A_23_P165028
DARS,1615,A_23_P108415
DAXX,1616,CUST_11713_PI416261804
DAXX,1616,A_23_P122579
DAZ1,1617,A_32_P504673
DAZ1,1617,A_23_P259934
DAZ1,1617,A_23_P392738
DAZL,1618,CUST_15094_PI416261804
DAZL,1618,A_23_P212105
BRINP1,1620,CUST_16794_PI416261804
BRINP1,1620,A_23_P94517
DBH,1621,CUST_223_PI416408490
DBH,1621,CUST_16039_PI416261804
DBH,1621,A_23_P112296
DBP,1628,CUST_13770_PI416261804
DBP,1628,A_23_P130753
DBT,1629,A_24_P699526
DBT,1629,A_24_P911442
DBT,1629,A_32_P50005
DBT,1629,A_23_P74022
DBT,1629,A_24_P28524
DCC,1630,CUST_13856_PI416261804
DCC,1630,A_23_P158708
ECI1,1632,CUST_7931_PI416261804
ECI1,1632,A_23_P163647
DCK,1633,A_24_P89080
DCK,1633,A_23_P259438
ACE,1636,CUST_55_PI416408490
ACE,1636,CUST_16698_PI416261804
ACE,1636,A_23_P38235
DDB1,1642,A_23_P258246
DDB2,1643,CUST_13560_PI416261804
CDX2,1045,A_23_P76654
CDX4,1046,CUST_1343_PI416261804
CDX4,1046,A_23_P114314
CEACAM5,1048,CUST_16870_PI416261804
CEACAM5,1048,A_23_P153301
CEBPA,1050,A_24_P216165
CEBPA,1050,A_24_P224727
CEBPA,1050,A_23_P375494
CEBPB,1051,A_23_P143242
CEBPB,1051,A_23_P411296
CEBPD,1052,CUST_9370_PI416261804
CEBPE,1053,CUST_11253_PI416261804
CEBPE,1053,A_23_P2990
CEBPG,1054,A_23_P356755
CEBPG,1054,CUST_4786_PI416261804
CEL,1056,CUST_1230_PI416573500
CEL,1056,CUST_1270_PI416379584
CEL,1056,CUST_14090_PI416261804
CENPA,1058,CUST_9293_PI416261804
CENPB,1059,A_24_P213912
CENPB,1059,A_23_P257905
CENPC,1060,A_23_P167194
CENPC,1060,A_24_P240338
